,title,push,date,author,link
0,[問題] 丟北京外商的職缺,6,9/04,paneraii,https://www.ptt.cc//bbs/WorkinChina/M.1536037166.A.933.html
1,[分享] 9/1北京辦居住證實錄,13,9/02,jingpikapika,https://www.ptt.cc//bbs/WorkinChina/M.1535865777.A.836.html
2,[自介] 北京準新人,5,8/20,aze,https://www.ptt.cc//bbs/WorkinChina/M.1534738517.A.68C.html
3,[自介] 北京準新人,1,8/17,pcgary,https://www.ptt.cc//bbs/WorkinChina/M.1534435255.A.520.html
4,北京搬家，變賣家當，吸塵器+炒菜鍋等,,8/15,Shaosan,https://www.ptt.cc//bbs/WorkinChina/M.1534332841.A.DCD.html
5,[討論] 上海/北京offer請益,2,8/04,blood321,https://www.ptt.cc//bbs/WorkinChina/M.1533382441.A.A4D.html
6,[討論] 在北京的電信商選擇(含翻牆等幾個問題),7,8/04,IvanLord,https://www.ptt.cc//bbs/WorkinChina/M.1533380508.A.A9B.html
7,[討論] 北京領養老金？,1,8/03,appleflavor,https://www.ptt.cc//bbs/WorkinChina/M.1533300853.A.526.html
8,Fw: [徵才]自由決定你的辦公室!Wisers徵才 北京/香港/台灣,,8/01,dolinian,https://www.ptt.cc//bbs/WorkinChina/M.1533096023.A.053.html
9,[自介] 北京菜B8,1,7/31,starymoon,https://www.ptt.cc//bbs/WorkinChina/M.1533050729.A.F09.html
10,[討論] 徵求北京地區家用品轉讓,9,7/30,murmurG,https://www.ptt.cc//bbs/WorkinChina/M.1532952869.A.974.html
11,[職場] 請問：在北京工作合法且不參加社保的方式,4,7/27,waterrrrr,https://www.ptt.cc//bbs/WorkinChina/M.1532683359.A.CFF.html
12,[討論] 請問北京有收驚的地方嗎？,2,7/20,abcdef4,https://www.ptt.cc//bbs/WorkinChina/M.1532058189.A.2DB.html
13,在北京機場的台流騙子,14,7/17,gigu1986,https://www.ptt.cc//bbs/WorkinChina/M.1531759701.A.126.html
14,[北京] 登出出清(來撿便宜),,7/04,HoweR99,https://www.ptt.cc//bbs/WorkinChina/M.1530695026.A.DB2.html
15,[討論] 北京空氣,38,7/01,cena0402,https://www.ptt.cc//bbs/WorkinChina/M.1530413022.A.6BC.html
16,[自介] 北京新人,4,6/29,goodrambo,https://www.ptt.cc//bbs/WorkinChina/M.1530262842.A.935.html
17,[求才] 知名美商徵求工程師（北京、南京）,2,6/29,sniffing,https://www.ptt.cc//bbs/WorkinChina/M.1530233409.A.797.html
18,[求才]北京 馬蜂窩旅遊網-徵多項工程師xUI設計師,1,6/21,dolinian,https://www.ptt.cc//bbs/WorkinChina/M.1529569214.A.A7C.html
19,[自介] 北京半新人,2,6/17,a5140827,https://www.ptt.cc//bbs/WorkinChina/M.1529212853.A.9FB.html
